beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Trackdown,"Uiltje Brewing Company","Pale Ale - American",5.2,14,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.75,"2019-06-15 22:07:49",https://untappd.com/c/763677898,https://untappd.com/beer/3050910,https://untappd.com/brewery/32280,Netherlands,Haarlem,Noord-Holland,,,Can,763677898,3050910,32280,https://untappd.s3.amazonaws.com/photos/2019_06_15/9538d31fdab1bd65e0f46c0940b67b87_raw.jpg,3.59,3.59,,0,0
"Present Tense",HIISI,"IPA - Imperial / Double",8,114,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.75,"2019-06-15 23:11:16",https://untappd.com/c/763756485,https://untappd.com/beer/2998135,https://untappd.com/brewery/78852,Finland,Jyvaskyla,Länsi-Suomi,,,Bottle,763756485,2998135,78852,https://untappd.s3.amazonaws.com/photos/2019_06_15/7910836792828eadcece9fff44d8717b_raw.jpg,3.6,3.61,,0,0
"Funk X Punk",OverWorks,"IPA - Brett",5.5,42,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.75,"2019-06-18 23:06:56",https://untappd.com/c/765072127,https://untappd.com/beer/3047468,https://untappd.com/brewery/394242,Scotland,Ellon,Aberdeenshire,,,Bottle,765072127,3047468,394242,https://untappd.s3.amazonaws.com/photos/2019_06_18/c1526c51078d4005d2cd4844e2e1b096_raw.jpg,3.59,3.59,,0,0
Ipanema,"Novo Brazil Brewing","IPA - Imperial / Double",8.3,90,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.75,"2019-06-20 22:55:39",https://untappd.com/c/765718883,https://untappd.com/beer/1280037,https://untappd.com/brewery/197952,"United States","Chula Vista",CA,,,Can,765718883,1280037,197952,https://untappd.s3.amazonaws.com/photos/2019_06_20/906c6b72d43834dbeef45cc51fc10d93_raw.jpg,3.74,3.74,,1,0
"Destruktionsbajer XPA","To Øl","IPA - International",6.5,51,,"Sauvo / Sagu",Sauvo,Varsinais-Suomi,Suomi,60.3493,22.6824,3.75,"2019-06-21 22:35:09",https://untappd.com/c/766197188,https://untappd.com/beer/3172336,https://untappd.com/brewery/2241,Denmark,Copenhagen,"Region Hovedstaden",,,Bottle,766197188,3172336,2241,https://untappd.s3.amazonaws.com/photos/2019_06_21/ad36b662c58603609b12835e88315c10_raw.jpg,3.6,3.61,,0,0
Utpå,Austmann,"Wheat Beer - Witbier",4.5,0,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.25,"2019-06-25 22:39:27",https://untappd.com/c/768263326,https://untappd.com/beer/647883,https://untappd.com/brewery/69202,Norway,Trondheim,Trøndelag,,,Bottle,768263326,647883,69202,https://untappd.s3.amazonaws.com/photos/2019_06_25/5bd48619e85fc5d1a9907e2d89faa346_raw.jpg,3.36,3.36,,0,0
Kesäloma,"Bryggeri Helsinki","Pale Ale - English",5.2,35,,"Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3,"2019-06-25 23:14:40",https://untappd.com/c/768276365,https://untappd.com/beer/2165203,https://untappd.com/brewery/63050,Finland,Helsinki,Etelä-Suomi,,,Bottle,768276365,2165203,63050,https://untappd.s3.amazonaws.com/photos/2019_06_25/c205944ed170b48959ed0381a70636a5_raw.jpg,3.05,3.15,,0,0
"Respect the Lime 2019","Vanttilan Panimo","Farmhouse Ale - Saison",5.2,0,"Aah, tää paranee vaan, nyt jotenkin paljon raikkaampi","Vanttila / Fantsby",Espoo,Uusimaa,Suomi,60.1859,24.6118,3.5,"2019-06-27 22:37:05",https://untappd.com/c/768908252,https://untappd.com/beer/3256193,https://untappd.com/brewery/371964,Finland,,,,,Bottle,768908252,3256193,371964,https://untappd.s3.amazonaws.com/photos/2019_06_27/ff0a4227f0f81163df63ec116ebc8e80_raw.jpg,0,1.89,,0,0
"Cosmic Island","Stone Brewing Berlin","IPA - New England",7,30,,"lomakeskus sieravuori",,,Suomi,60.9917,22.2313,3.75,"2019-06-28 22:10:27",https://untappd.com/c/769346568,https://untappd.com/beer/3158937,https://untappd.com/brewery/255911,Germany,,,,,Can,769346568,3158937,255911,https://untappd.s3.amazonaws.com/photos/2019_06_28/c91e6a15d30fdd1368e9a0bb8191298e_raw.jpg,3.65,3.65,"Ville Lehtinen",0,0
"Ganz Besonders","Amager Bryghus","Sour - Fruited Berliner Weisse",4,5,,"lomakeskus sieravuori",,,Suomi,60.9917,22.2313,3.25,"2019-06-29 21:34:49",https://untappd.com/c/770037015,https://untappd.com/beer/1518496,https://untappd.com/brewery/1950,Denmark,Kastrup,"Region Sjælland",,,Bottle,770037015,1518496,1950,https://untappd.s3.amazonaws.com/photos/2019_06_29/c40d48fc210005818b6f2c58905a9497_raw.jpg,3.62,3.63,"Ville Lehtinen",0,0
